peak_radius,damping,nullspace_gain,rms_position_error,rms_orientation_error,final_position_error,peak_dq,clipped_steps,peak_condition_number,max_distance_from_home,diverged,final_joint1,final_joint2,final_joint3,final_joint4,final_joint5,final_joint6,final_joint7
0.68,0.001,5.0,0.00832787,0.0148278,0.00658886,0.0399564,0,29.34,0.802707,0,1.24145e-06,0.00820691,-1.44484e-06,-1.57469,-0.000334967,1.56885,-0.785302
0.68,0.003,0.0,0.00832047,0.0148334,0.00658869,0.0399856,0,29.3875,0.803638,0,-0.000389512,0.00820875,0.000389768,-1.57468,-0.000335622,1.56885,-0.785301
0.68,0.003,2.0,0.00835077,0.0148132,0.00658902,0.0398724,0,29.216,0.800267,0,1.24325e-06,0.00820541,-1.44764e-06,-1.57469,-0.000334965,1.56885,-0.785302
0.68,0.003,5.0,0.00839769,0.0147833,0.00658944,0.0397064,0,28.9702,0.795364,0,1.23784e-06,0.00820031,-1.44593e-06,-1.5747,-0.000334954,1.56886,-0.785302
0.68,0.005,0.0,0.00832236,0.0148334,0.00658859,0.0399805,0,29.3861,0.80361,0,-0.000389508,0.00821069,0.000389765,-1.57468,-0.000335628,1.56885,-0.785301
0.68,0.005,2.0,0.00840841,0.0147778,0.00658942,0.0396713,0,28.9248,0.79445,0,1.24078e-06,0.0082013,-1.44831e-06,-1.5747,-0.000334958,1.56885,-0.785302
0.68,0.005,5.0,0.00854766,0.0146974,0.00659058,0.0392336,0,28.3099,0.781767,0,1.23064e-06,0.00818727,-1.44813e-06,-1.57472,-0.00033493,1.56886,-0.785302
0.68,0.01,0.0,0.00833128,0.0148334,0.0065881,0.0399567,0,29.3794,0.803479,0,-0.000389488,0.00821982,0.000389753,-1.57467,-0.000335657,1.56884,-0.785301
0.68,0.01,2.0,0.00870467,0.0146205,0.00659127,0.0388039,0,27.765,0.770047,0,1.22929e-06,0.0081823,-1.45146e-06,-1.57473,-0.000334927,1.56887,-0.785302
0.68,0.01,5.0,0.00936098,0.0143403,0.00659559,0.037375,0,26.0971,0.731062,0,1.19742e-06,0.00812854,-1.45876e-06,-1.57481,-0.000334816,1.5689,-0.785302
0.69,0.0001,0.0,0.0085806,0.0149307,0.00657725,0.0470563,0,41.8199,0.973711,0,-0.00045371,0.00839667,0.000454275,-1.57441,-0.000335865,1.56876,-0.785301
0.69,0.0001,2.0,0.00858066,0.0149308,0.0065773,0.047056,0,41.819,0.973701,0,1.373e-06,0.00839676,-1.4016e-06,-1.57441,-0.000335021,1.56876,-0.785301
0.69,0.0001,5.0,0.00858073,0.0149307,0.0065773,0.0470556,0,41.8175,0.973687,0,1.36349e-06,0.00839675,-1.39229e-06,-1.57441,-0.00033502,1.56876,-0.785301
0.69,0.0003,0.0,0.00858061,0.0149307,0.00657725,0.0470562,0,41.8199,0.97371,0,-0.00045371,0.00839668,0.000454275,-1.57441,-0.000335865,1.56876,-0.785301
0.69,0.0003,2.0,0.00858104,0.0149305,0.0065773,0.0470538,0,41.8112,0.973627,0,1.37299e-06,0.00839674,-1.4016e-06,-1.57441,-0.000335021,1.56876,-0.785301
0.69,0.0003,5.0,0.00858164,0.0149301,0.00657731,0.0470501,0,41.7982,0.973503,0,1.36345e-06,0.00839668,-1.3923e-06,-1.57441,-0.00033502,1.56876,-0.785301
0.69,0.0005,0.0,0.00858064,0.0149307,0.00657725,0.0470561,0,41.8198,0.973709,0,-0.000453709,0.0083967,0.000454275,-1.57441,-0.000335866,1.56876,-0.785301
0.69,0.0005,2.0,0.00858178,0.01493,0.00657731,0.0470493,0,41.7958,0.97348,0,1.37296e-06,0.00839669,-1.40161e-06,-1.57441,-0.000335021,1.56876,-0.785301
0.69,0.0005,5.0,0.00858346,0.0149288,0.00657732,0.0470393,0,41.7598,0.973136,0,1.36337e-06,0.00839653,-1.39232e-06,-1.57441,-0.00033502,1.56876,-0.785301
0.69,0.001,0.0,0.00858076,0.0149307,0.00657724,0.0470555,0,41.8194,0.973706,0,-0.000453709,0.0083968,0.000454275,-1.57441,-0.000335866,1.56876,-0.785301
0.69,0.001,2.0,0.00858527,0.0149276,0.00657733,0.0470286,0,41.7236,0.97279,0,1.37284e-06,0.00839647,-1.40164e-06,-1.57441,-0.00033502,1.56876,-0.785301
0.69,0.001,5.0,0.00859204,0.0149229,0.00657738,0.0469886,0,41.5823,0.97143,0,1.36301e-06,0.00839583,-1.39241e-06,-1.57441,-0.000335019,1.56876,-0.785301
0.69,0.003,0.0,0.00858206,0.0149307,0.00657717,0.0470496,0,41.8152,0.973665,0,-0.000453705,0.0083979,0.000454272,-1.57441,-0.000335869,1.56876,-0.785301
0.69,0.003,2.0,0.00862315,0.0149025,0.00657756,0.0468126,0,40.9959,0.965689,0,1.3715e-06,0.00839416,-1.40197e-06,-1.57441,-0.000335017,1.56877,-0.785301
0.69,0.003,5.0,0.00868746,0.0148613,0.00657806,0.0464756,0,39.9176,0.954687,0,1.35914e-06,0.00838843,-1.39345e-06,-1.57442,-0.000335006,1.56877,-0.785302
0.69,0.005,0.0,0.00858467,0.0149307,0.00657704,0.0470377,0,41.8067,0.973584,0,-0.000453698,0.00840009,0.000454267,-1.57441,-0.000335875,1.56876,-0.785301
0.69,0.005,2.0,0.00870215,0.0148538,0.00657802,0.0464048,0,39.7288,0.952699,0,1.36882e-06,0.00838954,-1.40263e-06,-1.57442,-0.00033501,1.56877,-0.785302
0.69,0.005,5.0,0.00889495,0.0147472,0.0065794,0.045572,0,37.4391,0.926965,0,1.35145e-06,0.00837377,-1.39554e-06,-1.57445,-0.000334982,1.56878,-0.785302
0.69,0.01,0.0,0.00859695,0.0149307,0.00657641,0.0469823,0,41.7666,0.973201,0,-0.000453664,0.00841039,0.000454241,-1.57439,-0.000335905,1.56876,-0.785301
