damping,step,time,joint_name,limit_side,overshoot_rad
0.0005,1974,3.948,joint4,upper,0.152994
0.0005,1975,3.95,joint4,upper,0.154646
0.0005,1976,3.952,joint4,upper,0.156304
0.0005,1977,3.954,joint4,upper,0.15797
0.0005,1978,3.956,joint4,upper,0.159642
0.0005,1979,3.958,joint4,upper,0.161322
0.0005,1980,3.96,joint4,upper,0.163008
0.0005,1981,3.962,joint4,upper,0.164702
0.0005,1982,3.964,joint4,upper,0.166402
0.0005,1983,3.966,joint4,upper,0.16811
0.0005,1984,3.968,joint4,upper,0.169825
0.0005,1985,3.97,joint4,upper,0.171548
0.0005,1986,3.972,joint4,upper,0.173277
0.0005,1987,3.974,joint4,upper,0.175014
0.0005,1988,3.976,joint4,upper,0.176759
0.0005,1989,3.978,joint4,upper,0.17851
0.0005,1990,3.98,joint4,upper,0.180269
0.0005,1991,3.982,joint4,upper,0.182036
0.0005,1992,3.984,joint4,upper,0.18381
0.0005,1993,3.986,joint4,upper,0.185592
0.0005,1994,3.988,joint4,upper,0.187381
0.0005,1995,3.99,joint4,upper,0.189178
0.0005,1996,3.992,joint4,upper,0.190982
0.0005,1997,3.994,joint4,upper,0.192794
0.0005,1998,3.996,joint4,upper,0.194614
0.0005,1999,3.998,joint4,upper,0.196442
0.0005,2000,4.0,joint4,upper,0.198277
0.0005,2001,4.002,joint4,upper,0.20012
0.0005,2002,4.004,joint4,upper,0.201971
0.0005,2003,4.006,joint4,upper,0.20383
0.0005,2004,4.008,joint4,upper,0.205697
0.0005,2005,4.01,joint4,upper,0.207572
0.0005,2006,4.012,joint4,upper,0.209455
0.0005,2007,4.014,joint4,upper,0.211346
0.0005,2008,4.016,joint4,upper,0.213245
0.0005,2009,4.018,joint4,upper,0.215153
0.0005,2010,4.02,joint4,upper,0.217068
0.0005,2011,4.022,joint4,upper,0.218992
0.0005,2012,4.024,joint4,upper,0.220923
0.0005,2013,4.026,joint4,upper,0.222864
0.0005,2014,4.028,joint4,upper,0.224812
0.0005,2015,4.03,joint4,upper,0.226769
0.0005,2016,4.032,joint4,upper,0.228734
0.0005,2017,4.034,joint4,upper,0.230708
0.0005,2018,4.036,joint4,upper,0.23269
0.0005,2019,4.038,joint4,upper,0.23468
0.0005,2020,4.04,joint4,upper,0.23668
0.0005,2021,4.042,joint4,upper,0.238687
0.0005,2022,4.044,joint4,upper,0.240704
0.0005,2023,4.046,joint4,upper,0.242729
0.0005,2024,4.048,joint4,upper,0.244763
0.0005,2025,4.05,joint4,upper,0.246805
0.0005,2026,4.052,joint4,upper,0.248857
0.0005,2027,4.054,joint4,upper,0.250917
0.0005,2028,4.056,joint4,upper,0.252986
0.0005,2029,4.058,joint4,upper,0.255063
0.0005,2030,4.06,joint4,upper,0.25715
0.0005,2031,4.062,joint4,upper,0.259246
0.0005,2032,4.064,joint4,upper,0.261351
0.0005,2033,4.066,joint4,upper,0.263465
0.0005,2034,4.068,joint4,upper,0.265588
0.0005,2035,4.07,joint4,upper,0.26772
0.0005,2036,4.072,joint4,upper,0.269861
0.0005,2037,4.074,joint4,upper,0.272012
0.0005,2038,4.076,joint4,upper,0.274171
0.0005,2039,4.078,joint4,upper,0.27634
0.0005,2040,4.08,joint4,upper,0.278519
0.0005,2041,4.082,joint4,upper,0.280706
0.0005,2042,4.084,joint4,upper,0.282903
0.0005,2043,4.086,joint4,upper,0.28511
0.0005,2044,4.088,joint4,upper,0.287326
0.0005,2045,4.09,joint4,upper,0.289552
0.0005,2046,4.092,joint4,upper,0.291787
0.0005,2047,4.094,joint4,upper,0.294031
0.0005,2048,4.096,joint4,upper,0.296286
0.0005,2049,4.098,joint4,upper,0.29855
0.0005,2050,4.1,joint4,upper,0.300823
0.0005,2051,4.102,joint4,upper,0.303107
0.0005,2052,4.104,joint4,upper,0.3054
0.0005,2053,4.106,joint4,upper,0.307703
0.0005,2054,4.108,joint4,upper,0.310016
0.0005,2055,4.11,joint4,upper,0.312339
0.0005,2056,4.112,joint4,upper,0.314672
0.0005,2057,4.114,joint4,upper,0.317014
0.0005,2058,4.116,joint4,upper,0.319367
0.0005,2059,4.118,joint4,upper,0.32173
0.0005,2060,4.12,joint4,upper,0.324103
0.0005,2061,4.122,joint4,upper,0.326486
0.0005,2062,4.124,joint4,upper,0.328879
0.0005,2063,4.126,joint4,upper,0.331282
0.0005,2064,4.128,joint4,upper,0.333696
0.0005,2065,4.13,joint4,upper,0.33612
0.0005,2066,4.132,joint4,upper,0.338554
0.0005,2067,4.134,joint4,upper,0.340998
0.0005,2068,4.136,joint4,upper,0.343453
0.0005,2069,4.138,joint4,upper,0.345918
0.0005,2070,4.14,joint4,upper,0.348394
0.0005,2071,4.142,joint4,upper,0.35088
0.0005,2072,4.144,joint4,upper,0.353377
0.0005,2073,4.146,joint4,upper,0.355884
0.0005,2074,4.148,joint4,upper,0.358402
0.0005,2075,4.15,joint4,upper,0.36093
0.0005,2076,4.152,joint4,upper,0.363469
0.0005,2077,4.154,joint4,upper,0.366019
0.0005,2078,4.156,joint4,upper,0.368579
0.0005,2079,4.158,joint4,upper,0.37115
0.0005,2080,4.16,joint4,upper,0.373732
0.0005,2081,4.162,joint4,upper,0.376324
0.0005,2082,4.164,joint4,upper,0.378928
0.0005,2083,4.166,joint4,upper,0.381542
0.0005,2084,4.168,joint4,upper,0.384167
0.0005,2085,4.17,joint4,upper,0.386803
0.0005,2086,4.172,joint4,upper,0.38945
0.0005,2087,4.174,joint4,upper,0.392108
0.0005,2088,4.176,joint4,upper,0.394777
0.0005,2089,4.178,joint4,upper,0.397456
0.0005,2090,4.18,joint4,upper,0.400147
0.0005,2091,4.182,joint4,upper,0.402849
0.0005,2092,4.184,joint4,upper,0.405562
0.0005,2093,4.186,joint4,upper,0.408286
0.0005,2094,4.188,joint4,upper,0.411021
0.0005,2095,4.19,joint4,upper,0.413767
0.0005,2096,4.192,joint4,upper,0.416524
0.0005,2097,4.194,joint4,upper,0.419293
0.0005,2098,4.196,joint4,upper,0.422073
0.0005,2099,4.198,joint4,upper,0.424863
0.0005,2100,4.2,joint4,upper,0.427665
0.0005,2101,4.202,joint4,upper,0.430479
0.0005,2102,4.204,joint4,upper,0.433303
0.0005,2103,4.206,joint4,upper,0.436139
0.0005,2104,4.208,joint4,upper,0.438986
0.0005,2105,4.21,joint4,upper,0.441844
0.0005,2106,4.212,joint4,upper,0.444714
0.0005,2107,4.214,joint4,upper,0.447594
0.0005,2108,4.216,joint4,upper,0.450486
0.0005,2109,4.218,joint4,upper,0.45339
0.0005,2110,4.22,joint4,upper,0.456304
0.0005,2111,4.222,joint4,upper,0.45923
0.0005,2112,4.224,joint4,upper,0.462167
0.0005,2113,4.226,joint4,upper,0.465116
0.0005,2114,4.228,joint4,upper,0.468076
0.0005,2115,4.23,joint4,upper,0.471047
0.0005,2116,4.232,joint4,upper,0.474029
0.0005,2117,4.234,joint4,upper,0.477022
0.0005,2118,4.236,joint4,upper,0.480027
0.0005,2119,4.238,joint4,upper,0.483043
0.0005,2120,4.24,joint4,upper,0.486071
0.0005,2121,4.242,joint4,upper,0.489109
0.0005,2122,4.244,joint4,upper,0.492159
0.0005,2123,4.246,joint4,upper,0.49522
0.0005,2124,4.248,joint4,upper,0.498292
0.0005,2125,4.25,joint4,upper,0.501375
0.0005,2126,4.252,joint4,upper,0.504469
0.0005,2127,4.254,joint4,upper,0.507575
0.0005,2128,4.256,joint4,upper,0.510691
0.0005,2129,4.258,joint4,upper,0.513819
0.0005,2130,4.26,joint4,upper,0.516957
0.0005,2131,4.262,joint4,upper,0.520107
0.0005,2132,4.264,joint4,upper,0.523267
0.0005,2133,4.266,joint4,upper,0.526439
0.0005,2134,4.268,joint4,upper,0.529621
0.0005,2135,4.27,joint4,upper,0.532814
0.0005,2136,4.272,joint4,upper,0.536018
0.0005,2137,4.274,joint4,upper,0.539232
0.0005,2138,4.276,joint4,upper,0.542458
0.0005,2139,4.278,joint4,upper,0.545693
0.0005,2140,4.28,joint4,upper,0.54894
0.0005,2141,4.282,joint4,upper,0.552197
0.0005,2142,4.284,joint4,upper,0.555464
0.0005,2143,4.286,joint4,upper,0.558742
0.0005,2144,4.288,joint4,upper,0.56203
0.0005,2145,4.29,joint4,upper,0.565328
0.0005,2146,4.292,joint4,upper,0.568636
0.0005,2147,4.294,joint4,upper,0.571955
0.0005,2148,4.296,joint4,upper,0.575283
0.0005,2149,4.298,joint4,upper,0.578622
0.0005,2150,4.3,joint4,upper,0.58197
0.0005,2151,4.302,joint4,upper,0.585328
0.0005,2152,4.304,joint4,upper,0.588696
0.0005,2153,4.306,joint4,upper,0.592073
0.0005,2154,4.308,joint4,upper,0.59546
0.0005,2155,4.31,joint4,upper,0.598856
0.0005,2156,4.312,joint4,upper,0.602261
0.0005,2157,4.314,joint4,upper,0.605676
0.0005,2158,4.316,joint4,upper,0.609099
0.0005,2159,4.318,joint4,upper,0.612532
0.0005,2160,4.32,joint4,upper,0.615973
0.0005,2161,4.322,joint4,upper,0.619423
0.0005,2162,4.324,joint4,upper,0.622882
