damping,nullspace_gain,step,time,joint1,joint2,joint3,joint4,joint5,joint6,joint7,position_error,condition_number,distance_from_home,any_clipped
0.0003,0.0,33,0.066,2.03569e-06,0.00309475,3.01882e-06,-1.57362,-0.000157439,1.57021,-0.7853,0.00314724,12.624,0.0042385,0
0.0003,0.0,34,0.068,1.90649e-06,0.00317943,2.86298e-06,-1.57369,-0.00016121,1.5702,-0.7853,0.00322762,12.6233,0.00434423,0
0.0003,0.0,35,0.07,1.78085e-06,0.00326283,2.71098e-06,-1.57375,-0.000164901,1.57018,-0.7853,0.00330636,12.6226,0.00444763,0
0.0003,0.0,36,0.072,1.6589e-06,0.00334498,2.56302e-06,-1.5738,-0.000168515,1.57016,-0.7853,0.00338349,12.622,0.00454873,0
0.0003,0.0,37,0.074,1.54076e-06,0.00342593,2.41928e-06,-1.57386,-0.000172053,1.57015,-0.7853,0.00345905,12.6214,0.00464758,0
0.0003,0.0,38,0.076,1.42648e-06,0.00350571,2.27985e-06,-1.57391,-0.000175516,1.57013,-0.7853,0.00353307,12.6209,0.00474422,0
0.0003,0.0,39,0.078,1.31611e-06,0.00358437,2.14482e-06,-1.57396,-0.000178906,1.57012,-0.7853,0.00360557,12.6203,0.00483871,0
0.0003,0.0,40,0.08,1.20964e-06,0.00366194,2.01422e-06,-1.57401,-0.000182224,1.5701,-0.7853,0.00367658,12.6198,0.00493109,0
0.0003,0.0,41,0.082,1.10705e-06,0.00373847,1.88806e-06,-1.57406,-0.000185472,1.57008,-0.7853,0.00374615,12.6193,0.0050214,0
0.0003,0.0,42,0.084,1.00831e-06,0.00381399,1.76632e-06,-1.57411,-0.000188651,1.57007,-0.7853,0.00381429,12.6188,0.0051097,0
0.0003,0.0,43,0.086,9.13363e-07,0.00388854,1.64897e-06,-1.57415,-0.000191763,1.57005,-0.7853,0.00388104,12.6183,0.00519602,0
0.0003,0.0,44,0.088,8.22156e-07,0.00396215,1.53596e-06,-1.57419,-0.000194808,1.57003,-0.7853,0.00394643,12.6179,0.00528042,0
0.0003,0.0,45,0.09,7.34612e-07,0.00403488,1.42722e-06,-1.57423,-0.000197789,1.57002,-0.7853,0.00401049,12.6174,0.00536294,0
0.0003,0.0,46,0.092,6.50653e-07,0.00410675,1.32268e-06,-1.57427,-0.000200707,1.57,-0.7853,0.00407324,12.617,0.00544363,0
0.0003,0.0,47,0.094,5.70194e-07,0.00417779,1.22226e-06,-1.57431,-0.000203562,1.56999,-0.7853,0.00413472,12.6166,0.00552253,0
0.0003,0.0,48,0.096,4.93148e-07,0.00424805,1.12587e-06,-1.57434,-0.000206357,1.56997,-0.7853,0.00419495,12.6163,0.00559969,0
0.0003,0.0,49,0.098,4.19423e-07,0.00431757,1.03342e-06,-1.57437,-0.000209092,1.56995,-0.7853,0.00425396,12.6159,0.00567514,0
0.0003,0.0,50,0.1,3.48925e-07,0.00438636,9.44822e-07,-1.5744,-0.000211769,1.56994,-0.7853,0.00431178,12.6156,0.00574895,0
0.0003,0.0,51,0.102,2.8156e-07,0.00445448,8.5997e-07,-1.57443,-0.00021439,1.56992,-0.7853,0.00436843,12.6153,0.00582115,0
0.0003,0.0,52,0.104,2.17233e-07,0.00452194,7.78769e-07,-1.57446,-0.000216954,1.56991,-0.7853,0.00442394,12.615,0.00589178,0
0.0003,0.0,53,0.106,1.5585e-07,0.00458879,7.01119e-07,-1.57448,-0.000219464,1.56989,-0.7853,0.00447834,12.6148,0.00596089,0
0.0003,0.0,54,0.108,9.7316e-08,0.00465506,6.2692e-07,-1.5745,-0.00022192,1.56987,-0.7853,0.00453165,12.6145,0.00602853,0
0.0003,0.0,55,0.11,4.15378e-08,0.00472077,5.56074e-07,-1.57452,-0.000224325,1.56986,-0.7853,0.00458388,12.6143,0.00609473,0
0.0003,0.0,56,0.112,-1.15766e-08,0.00478595,4.88482e-07,-1.57454,-0.000226678,1.56984,-0.7853,0.00463508,12.6141,0.00615954,0
0.0003,0.0,57,0.114,-6.21179e-08,0.00485064,4.24048e-07,-1.57456,-0.000228981,1.56982,-0.7853,0.00468526,12.6139,0.00622301,0
0.0003,0.0,58,0.116,-1.10175e-07,0.00491487,3.62674e-07,-1.57457,-0.000231234,1.56981,-0.7853,0.00473444,12.6137,0.00628517,0
0.0003,0.0,59,0.118,-1.55836e-07,0.00497866,3.04268e-07,-1.57459,-0.00023344,1.56979,-0.7853,0.00478264,12.6136,0.00634607,0
0.0003,0.0,60,0.12,-1.99185e-07,0.00504205,2.48737e-07,-1.5746,-0.000235599,1.56977,-0.7853,0.00482989,12.6135,0.00640574,0
0.0003,0.0,61,0.122,-2.40306e-07,0.00510505,1.95989e-07,-1.57461,-0.000237712,1.56975,-0.7853,0.00487621,12.6133,0.00646424,0
0.0003,0.0,62,0.124,-2.79281e-07,0.0051677,1.45936e-07,-1.57462,-0.00023978,1.56974,-0.7853,0.00492162,12.6132,0.00652161,0
0.0003,0.0,63,0.126,-3.1619e-07,0.00523002,9.84911e-08,-1.57463,-0.000241804,1.56972,-0.7853,0.00496614,12.6132,0.00657788,0
0.0003,0.0,64,0.128,-3.51109e-07,0.00529203,5.35691e-08,-1.57463,-0.000243785,1.5697,-0.7853,0.0050098,12.6131,0.0066331,0
0.0003,0.0,65,0.13,-3.84115e-07,0.00535377,1.10873e-08,-1.57463,-0.000245724,1.56968,-0.7853,0.0050526,12.6131,0.00668731,0
0.0003,0.0,66,0.132,-4.1528e-07,0.00541526,-2.90353e-08,-1.57464,-0.000247622,1.56967,-0.7853,0.00509456,12.6131,0.00674056,0
0.0003,0.0,67,0.134,-4.44676e-07,0.00547652,-6.68774e-08,-1.57464,-0.000249479,1.56965,-0.7853,0.00513572,12.613,0.00679288,0
0.0003,0.0,68,0.136,-4.72372e-07,0.00553758,-1.02516e-07,-1.57463,-0.000251296,1.56963,-0.7853,0.00517608,12.6131,0.00684431,0
0.0003,0.0,69,0.138,-4.98437e-07,0.00559845,-1.36025e-07,-1.57463,-0.000253075,1.56961,-0.7853,0.00521567,12.6131,0.0068949,0
0.0003,0.0,70,0.14,-5.22934e-07,0.00565916,-1.67478e-07,-1.57463,-0.000254816,1.56959,-0.785301,0.00525449,12.6131,0.00694469,0
0.0003,0.0,71,0.142,-5.45928e-07,0.00571974,-1.96946e-07,-1.57462,-0.00025652,1.56958,-0.785301,0.00529258,12.6132,0.00699372,0
0.0003,0.0,72,0.144,-5.67481e-07,0.00578019,-2.24497e-07,-1.57461,-0.000258188,1.56956,-0.785301,0.00532994,12.6133,0.00704204,0
0.0003,0.0,73,0.146,-5.87652e-07,0.00584056,-2.50198e-07,-1.5746,-0.00025982,1.56954,-0.785301,0.00536659,12.6134,0.00708968,0
0.0003,0.0,74,0.148,-6.065e-07,0.00590085,-2.74114e-07,-1.57459,-0.000261418,1.56952,-0.785301,0.00540254,12.6135,0.00713668,0
0.0003,0.0,75,0.15,-6.2408e-07,0.00596108,-2.96308e-07,-1.57458,-0.000262981,1.5695,-0.785301,0.00543782,12.6136,0.00718309,0
0.0003,0.0,76,0.152,-6.40447e-07,0.00602128,-3.16843e-07,-1.57456,-0.000264512,1.56948,-0.785301,0.00547244,12.6138,0.00722895,0
0.0003,0.0,77,0.154,-6.55655e-07,0.00608147,-3.35776e-07,-1.57454,-0.000266009,1.56946,-0.785301,0.00550641,12.614,0.00727431,0
0.0003,0.0,78,0.156,-6.69754e-07,0.00614166,-3.53167e-07,-1.57453,-0.000267475,1.56944,-0.785301,0.00553975,12.6142,0.00731919,0
0.0003,0.0,79,0.158,-6.82795e-07,0.00620187,-3.69071e-07,-1.57451,-0.00026891,1.56942,-0.785301,0.00557247,12.6144,0.00736366,0
0.0003,0.0,80,0.16,-6.94825e-07,0.00626212,-3.83544e-07,-1.57449,-0.000270314,1.5694,-0.785301,0.00560459,12.6146,0.00740774,0
0.0003,0.0,81,0.162,-7.05891e-07,0.00632243,-3.96637e-07,-1.57446,-0.000271688,1.56938,-0.785301,0.00563612,12.6148,0.00745148,0
0.0003,0.0,82,0.164,-7.16039e-07,0.00638282,-4.08402e-07,-1.57444,-0.000273033,1.56936,-0.785301,0.00566707,12.6151,0.00749492,0
0.0003,0.0,83,0.166,-7.25312e-07,0.0064433,-4.1889e-07,-1.57441,-0.00027435,1.56934,-0.785301,0.00569746,12.6153,0.00753811,0
0.0003,0.0,84,0.168,-7.33752e-07,0.00650388,-4.28148e-07,-1.57439,-0.000275638,1.56932,-0.785301,0.00572729,12.6156,0.00758108,0
0.0003,0.0,85,0.17,-7.41402e-07,0.00656459,-4.36223e-07,-1.57436,-0.000276899,1.5693,-0.785301,0.00575659,12.6159,0.00762388,0
0.0003,0.0,86,0.172,-7.48299e-07,0.00662544,-4.43162e-07,-1.57433,-0.000278133,1.56927,-0.785301,0.00578536,12.6162,0.00766656,0
0.0003,0.0,87,0.174,-7.54484e-07,0.00668645,-4.49008e-07,-1.57429,-0.000279341,1.56925,-0.785301,0.00581362,12.6166,0.00770914,0
0.0003,0.0,88,0.176,-7.59993e-07,0.00674763,-4.53803e-07,-1.57426,-0.000280524,1.56923,-0.785301,0.00584137,12.6169,0.00775169,0
0.0003,0.0,89,0.178,-7.64862e-07,0.006809,-4.5759e-07,-1.57423,-0.000281681,1.56921,-0.785301,0.00586864,12.6173,0.00779423,0
0.0003,0.0,90,0.18,-7.69127e-07,0.00687056,-4.60409e-07,-1.57419,-0.000282813,1.56919,-0.785301,0.00589542,12.6177,0.00783681,0
0.0003,0.0,91,0.182,-7.72821e-07,0.00693234,-4.62298e-07,-1.57415,-0.000283922,1.56916,-0.785301,0.00592174,12.6181,0.00787948,0
0.0003,0.0,92,0.184,-7.75977e-07,0.00699435,-4.63296e-07,-1.57411,-0.000285007,1.56914,-0.785301,0.0059476,12.6185,0.00792228,0
0.0003,0.0,93,0.186,-7.78626e-07,0.0070566,-4.63439e-07,-1.57407,-0.000286068,1.56912,-0.785301,0.00597301,12.6189,0.00796524,0
0.0003,0.0,94,0.188,-7.80799e-07,0.00711911,-4.62762e-07,-1.57403,-0.000287108,1.56909,-0.785301,0.00599798,12.6194,0.00800841,0
0.0003,0.0,95,0.19,-7.82525e-07,0.00718188,-4.613e-07,-1.57399,-0.000288125,1.56907,-0.785301,0.00602253,12.6198,0.00805184,0
