label,rms_position_error,rms_orientation_error,peak_dq,clipped_steps
dls 1e-02,0.008884565090448725,0.015018283269536137,0.0773766,0
dls 1e-03,0.1743356649555841,0.6832627118089388,1.0,1140
dls 1e-04,0.014512236912440017,0.025398252294284742,1.0,12
mink,0.00937212181303969,0.014791696395714404,0.0546344,0
